Protein1,Protein2
P00561,P00562
P75616,P64542
P0A870,P0A867
P0AF03,P0AEZ9
P0A6Y8,P77319
P0A6Y8,P0A6Z1
P08622,P36659
P0CF91,P0CF92
P0CF91,P0CF93
P0ACG4,P33236
P0ACG4,P0ACG6
P33236,P0ACG4
P33236,P0ACG6
P0A9G2,Q47005
P0CF25,P0CF26
P0CF25,P0CF27
P0CF25,P57998
P0CF25,P0CF28
P0CF25,P0CF29
P0CF07,P0CF08
P0CF07,P0CF09
P0CF07,P0CF10
P0CF07,P0CF11
P0CF07,P0CF12
P0CF07,P19767
P00956,P07118
P0AEM0,P0A9K9
P22564,P41409
P22564,P33022
P39206,P77181
P39206,P0A9W9
P31551,P76082
P31551,P77467
P31551,P0ABU0
P31551,P52045
P31552,P77495
P31552,P10378
P31552,P38135
P31552,P69451
P31552,P37353
P31552,P27550
P31572,P76518
P31572,P69902
P60584,P0A9U8
P31553,P0ABC9
P31553,P0ABD1
P60566,P76201
P31574,P77378
P31574,Q46907
P68644,P77337
P68644,Q46904
P68646,P77714
P68646,Q46905
P31679,P77589
P31679,P38055
P31679,P76230
P31679,Q46909
P31679,P0AE24
P31679,P0AEP1
P31679,P41036
P31679,P0AGF4
P31679,P39352
P0A754,P0A756
P03819,P39830
P03819,P45522
P0AA37,P0AA39
P0AA37,P33643
P0AA37,P0AA41
P08203,P37680
P08203,P39306
P08204,P55138
P08204,P37677
P0A9E0,P77402
P0A9E0,P09377
P0A9E0,P09378
P30149,P0ABP6
P30149,P0AA63
P31548,P36879
P31548,P07821
P31548,P30750
P31548,Q47538
P31548,P77279
P31548,P0A9T8
P31548,P23878
P31548,P0AAG3
P31548,P10346
P31548,P0AAF6
P31548,P0AAI1
P31548,P75957
P31548,P0AAH8
P31548,P77622
P31548,P77268
P31548,P06611
P31548,P76909
P31548,P0A9X1
P31548,P37774
P31548,P33360
P31548,P33931
P31548,P07109
P31548,P63386
P31548,P0A9V1
P31548,P45769
P31548,P22731
P31548,P0A9S7
P31548,P0A9R7
P31548,P33593
P31548,P33594
P31548,P0AAG0
P31548,P0AAH0
P31548,P16679
P31548,P16678
P31548,P16677
P31548,P15031
P31549,P76224
P33595,P46890
P31675,P33026
P31675,P31436
P0A6A6,P75764
P30125,P08200
P30125,P76251
P10151,P77746
P10151,P30979
P10151,P31463
P00893,P0AEP7
P00893,P07003
P00893,P0AFI0
P00893,P08142
P0ACP1,P03023
P0ACP1,P77615
P0ACP1,P18811
P0ACP1,P0ACP7
P0ACP1,P25748
P0ACP1,P24242
P0ACP1,P03024
P0ACP1,P0ACP5
P0ACP1,P0ACQ0
P0ACP1,P0ACN7
P0ACP1,P36673
P0ACP1,P39343
P0AD68,P0AD65
P0ABG4,P0ABG7
P17952,P37773
P07862,P0A6J8
P08337,P77788
P36646,P41441
P36645,P45759
P15993,Q47689
P15993,P0AAE2
P15993,P77400
P15993,P24207
P15993,P0AAF1
